 0.0, 0.0, 1281
-3.3350, -1.1676, 344.344348, 2322
-3.3411, -1.1676, 344.344348, 2324
-3.3442, -1.1676, 344.344348, 2324
-3.3411, -1.1676, 344.344348, 2324
-3.3503, -1.1676, 344.344348, 2322
-4.4050, -1.1676, 344.344348, 2324
-4.4508, -1.1676, 344.344348, 2334
-5.5025, -1.1676, 344.344348, 2324
-5.5330, -1.1676, 344.344348, 2324
-5.5513, -1.1676, 344.344348, 2322
-5.5482, -1.1676, 344.344348, 2324
-5.5208, -1.1676, 344.344348, 2324
-4.4935, -1.1676, 344.344348, 2324
-4.4630, -1.1676, 344.344348, 2322
-4.4294, -1.1676, 344.344348, 2330
-3.3807, -1.1676, 344.344348, 2324
-3.3655, -1.1676, 344.344348, 2324
-3.3228, -1.1676, 344.344348, 2322
-3.3045, -1.1676, 344.344348, 2324
